Rk,Season,Team,W,G,W,L,W/L%,Opponent Total FG,Opponent Total FGA,Opponent Total 2P,Opponent Total 2PA,Opponent Total 3P,Opponent Total 3PA,Opponent Total FT,Opponent Total FTA,Opponent Total ORB,Opponent Total DRB,Opponent Total TRB,Opponent Total AST,Opponent Total STL,Opponent Total BLK,Opponent Total TOV,Opponent Total PF,Opponent Total PTS,Opponent Shooting Total FG%,Opponent Shooting Total 2P%,Opponent Shooting Total 3P%,Opponent Shooting Total FT%
1,2023-24,Connecticut,37,40,37,3,.925,894,2278,660,1529,234,749,514,709,395,809,1204,400,214,118,422,663,2536,.392,.432,.312,.725
2,2023-24,Purdue,34,39,34,5,.872,1011,2423,730,1530,281,893,386,534,353,788,1141,555,263,96,368,792,2691,.417,.477,.315,.723
3,2023-24,Houston,32,37,32,5,.865,706,1862,481,1115,225,747,495,734,398,853,1251,422,186,102,585,599,2132,.379,.431,.301,.674
4,2023-24,Indiana State,32,39,32,7,.821,1055,2406,773,1587,282,819,462,624,338,907,1245,424,241,130,437,665,2854,.438,.487,.344,.740
5,2023-24,James Madison,32,36,32,4,.889,878,2112,653,1359,225,753,525,721,358,863,1221,385,214,123,516,621,2506,.416,.481,.299,.728
6,2023-24,Grand Canyon,30,35,30,5,.857,822,2039,600,1345,222,694,480,678,397,784,1181,396,214,94,487,708,2346,.403,.446,.320,.708
7,2023-24,McNeese State,30,34,30,4,.882,712,1829,433,950,279,879,413,580,363,758,1121,420,157,108,556,610,2116,.389,.456,.317,.712
8,2023-24,Illinois,29,38,29,9,.763,1044,2418,811,1734,233,684,466,646,381,878,1259,460,218,122,331,707,2787,.432,.468,.341,.721
9,2023-24,Iowa State,29,37,29,8,.784,768,1909,496,1046,272,863,469,664,357,870,1227,451,224,130,636,674,2277,.402,.474,.315,.706
10,2023-24,North Carolina,29,37,29,8,.784,935,2281,673,1464,262,817,476,644,331,919,1250,374,203,141,392,690,2608,.410,.460,.321,.739
11,2023-24,Samford,29,35,29,6,.829,897,2068,619,1246,278,822,535,780,414,841,1255,485,273,135,583,667,2607,.434,.497,.338,.686
12,2023-24,Drake,28,35,28,7,.800,885,2000,628,1225,257,775,436,618,275,872,1147,370,192,93,431,601,2463,.443,.513,.332,.706
13,2023-24,Utah State,28,35,28,7,.800,906,2070,685,1315,221,755,464,634,330,827,1157,456,223,84,417,645,2497,.438,.521,.293,.732
14,2023-24,Vermont,28,35,28,7,.800,805,1982,582,1272,223,710,372,521,289,894,1183,345,180,113,351,529,2205,.406,.458,.314,.714
15,2023-24,Appalachian State,27,34,27,7,.794,865,2225,639,1493,226,732,327,472,393,843,1236,349,234,84,356,556,2283,.389,.428,.309,.693
16,2023-24,Arizona,27,36,27,9,.750,949,2252,668,1399,281,853,415,583,323,852,1175,496,250,132,483,684,2594,.421,.477,.329,.712
17,2023-24,Auburn,27,35,27,8,.771,784,2029,579,1351,205,678,618,842,403,803,1206,335,233,113,449,665,2391,.386,.429,.302,.734
18,2023-24,College of Charleston,27,35,27,8,.771,939,2112,670,1328,269,784,428,608,327,903,1230,407,214,115,403,577,2575,.445,.505,.343,.704
19,2023-24,Duke,27,36,27,9,.750,884,2055,657,1342,227,713,392,578,327,809,1136,450,192,159,407,579,2387,.430,.490,.318,.678
