Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
1,2023-24,Connecticut,37,40,37,3,.925,66.0,123.3,96.0,.569,.597,12.3,36.7,73.3,.319,.444,.485,13.9,26.7,63.3,.311
2,2023-24,Purdue,34,39,34,5,.872,68.3,119.5,100.1,.558,.591,14.0,37.7,75.7,.413,.475,.503,12.1,24.3,62.3,.220
3,2023-24,Houston,32,37,32,5,.865,64.1,113.6,89.0,.503,.531,11.4,36.8,68.8,.308,.440,.482,20.9,31.2,63.2,.394
4,2023-24,Indiana State,32,39,32,7,.821,71.4,118.4,102.1,.600,.632,14.7,23.5,76.6,.334,.497,.528,13.9,23.4,76.5,.259
5,2023-24,James Madison,32,36,32,4,.889,71.6,115.0,96.2,.544,.572,13.0,32.5,73.1,.342,.469,.510,17.4,26.9,67.5,.341
6,2023-24,Grand Canyon,30,35,30,5,.857,69.8,112.9,95.6,.521,.568,15.0,34.4,69.9,.450,.458,.497,17.1,30.1,65.6,.333
7,2023-24,McNeese State,30,34,30,4,.882,67.6,118.3,92.1,.552,.578,12.3,33.5,69.9,.373,.466,.503,20.9,30.1,66.5,.317
8,2023-24,Illinois,29,38,29,9,.763,70.1,118.2,104.0,.536,.572,12.6,35.6,73.7,.371,.480,.511,10.8,26.3,64.4,.267
9,2023-24,Iowa State,29,37,29,8,.784,67.9,110.9,90.6,.520,.551,13.3,31.1,70.7,.354,.474,.512,22.2,29.3,68.9,.348
10,2023-24,North Carolina,29,37,29,8,.784,71.3,114.6,98.6,.515,.557,12.0,33.0,76.3,.362,.467,.504,13.2,23.7,67.0,.282
11,2023-24,Samford,29,35,29,6,.829,74.4,115.7,100.1,.571,.599,15.3,30.6,68.0,.355,.501,.535,19.3,32.0,69.4,.377
12,2023-24,Drake,28,35,28,7,.800,68.4,113.9,100.3,.549,.582,12.3,24.2,77.1,.328,.507,.537,15.8,22.9,75.8,.309
13,2023-24,Utah State,28,35,28,7,.800,69.3,113.4,101.5,.546,.579,13.8,28.6,73.6,.385,.491,.527,15.0,26.4,71.4,.306
14,2023-24,Vermont,28,35,28,7,.800,65.4,109.1,96.0,.530,.557,12.5,23.1,76.6,.286,.462,.495,13.6,23.4,76.9,.263
15,2023-24,Appalachian State,27,34,27,7,.794,69.3,110.7,94.8,.528,.552,13.1,30.7,72.6,.313,.440,.466,12.7,27.4,69.3,.212
16,2023-24,Arizona,27,36,27,9,.750,73.3,116.8,96.6,.545,.576,13.6,35.6,76.7,.364,.484,.513,16.0,23.3,64.4,.259
17,2023-24,Auburn,27,35,27,8,.771,70.9,117.2,96.4,.542,.580,13.0,32.9,69.8,.383,.437,.492,15.6,30.2,67.1,.415
18,2023-24,College of Charleston,27,35,27,8,.771,70.4,114.6,104.2,.522,.550,11.9,33.6,74.1,.275,.508,.536,14.4,25.9,66.4,.288
19,2023-24,Duke,27,36,27,9,.750,67.1,117.1,98.8,.546,.576,12.4,32.1,74.1,.343,.485,.512,14.9,25.9,67.9,.281
20,2023-24,Gonzaga,27,35,27,8,.771,69.8,121.1,99.1,.574,.598,12.1,33.9,72.5,.305,.468,.499,13.9,27.5,66.1,.249
21,2023-24,High Point,27,36,27,9,.750,69.0,119.4,106.0,.531,.580,13.3,37.4,74.0,.429,.495,.534,12.6,26.0,62.6,.360
