Rk,Season,Team,W,G,W,L,W/L%,MP,Team FG,Team FGA,Team 2P,Team 2PA,Team 3P,Team 3PA,Team FT,Team FTA,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Team PTS,Opponent FG,Opponent FGA,Opponent 2P,Opponent 2PA,Opponent 3P,Opponent 3PA,Opponent FT,Opponent FTA,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent PTS
1,2023-24,Connecticut,37,40,37,3,.925,200.0,29.4,59.2,20.9,35.4,8.5,23.8,14.1,18.9,11.7,27.1,38.8,18.7,6.2,5.4,9.6,16.3,81.4,22.4,57.0,16.5,38.2,5.9,18.7,12.9,17.7,9.9,20.2,30.1,10.0,5.4,3.0,10.6,16.6,63.4
2,2023-24,Purdue,34,39,34,5,.872,201.9,28.4,58.3,20.3,38.1,8.2,20.2,17.3,24.1,12.2,28.2,40.4,18.5,5.4,3.6,11.3,13.7,82.3,25.9,62.1,18.7,39.2,7.2,22.9,9.9,13.7,9.1,20.2,29.3,14.2,6.7,2.5,9.4,20.3,69.0
3,2023-24,Houston,32,37,32,5,.865,202.0,26.5,60.4,18.8,38.2,7.7,22.2,12.8,18.6,13.4,23.7,37.1,13.1,9.8,4.8,8.9,17.8,73.5,19.1,50.3,13.0,30.1,6.1,20.2,13.4,19.8,10.8,23.1,33.8,11.4,5.0,2.8,15.8,16.2,57.6
4,2023-24,Indiana State,32,39,32,7,.821,200.6,29.3,57.9,18.3,29.2,10.9,28.7,15.4,19.3,7.2,28.3,35.5,17.9,6.1,1.8,11.6,16.4,84.8,27.1,61.7,19.8,40.7,7.2,21.0,11.8,16.0,8.7,23.3,31.9,10.9,6.2,3.3,11.2,17.1,73.2
5,2023-24,James Madison,32,36,32,4,.889,202.1,29.8,62.6,21.3,38.9,8.5,23.7,15.1,21.4,11.5,27.1,38.6,16.0,9.0,3.1,10.9,17.3,83.2,24.4,58.7,18.1,37.8,6.3,20.9,14.6,20.0,9.9,24.0,33.9,10.7,5.9,3.4,14.3,17.3,69.6
6,2023-24,Grand Canyon,30,35,30,5,.857,200.7,26.4,57.4,19.4,36.5,7.0,20.8,19.3,25.8,11.8,26.4,38.1,12.1,8.3,5.5,12.3,17.9,79.1,23.5,58.3,17.1,38.4,6.3,19.8,13.7,19.4,11.3,22.4,33.7,11.3,6.1,2.7,13.9,20.2,67.0
7,2023-24,McNeese State,30,34,30,4,.882,200.0,28.6,58.7,21.1,39.0,7.6,19.7,15.2,21.9,11.2,24.8,36.1,14.9,10.3,3.4,9.7,17.3,80.0,20.9,53.8,12.7,27.9,8.2,25.9,12.1,17.1,10.7,22.3,33.0,12.4,4.6,3.2,16.4,17.9,62.2
8,2023-24,Illinois,29,38,29,9,.763,201.3,29.1,62.0,20.7,38.1,8.3,23.9,16.9,23.0,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2,83.4,27.5,63.6,21.3,45.6,6.1,18.0,12.3,17.0,10.0,23.1,33.1,12.1,5.7,3.2,8.7,18.6,73.3
9,2023-24,Iowa State,29,37,29,8,.784,200.0,27.1,58.5,20.4,39.9,6.6,18.6,14.5,20.7,10.6,23.3,33.9,15.7,10.3,3.1,10.5,16.5,75.3,20.8,51.6,13.4,28.3,7.4,23.3,12.7,17.9,9.6,23.5,33.2,12.2,6.1,3.5,17.2,18.2,61.5
10,2023-24,North Carolina,29,37,29,8,.784,200.7,28.3,62.8,20.1,40.1,8.1,22.7,17.3,22.8,12.2,28.9,41.1,14.5,5.8,4.1,10.1,16.5,81.9,25.3,61.6,18.2,39.6,7.1,22.1,12.9,17.4,8.9,24.8,33.8,10.1,5.5,3.8,10.6,18.6,70.5
